1301 , 2014/3/31 , 262 , 2015/3/31 , 284 , 0.0839694656489
1332 , 2014/3/31 , 217 , 2015/3/31 , 365 , 0.68202764977
1352 , 2014/3/31 , 130 , 2015/3/31 , 138 , 0.0615384615385
1376 , 2014/3/31 , 866 , 2015/3/31 , 1076 , 0.242494226328
1377 , 2014/3/31 , 1420 , 2015/3/31 , 1955 , 0.37676056338
1379 , 2014/3/31 , 2147 , 2015/3/31 , 2237 , 0.0419189566837
1380 , 2014/3/31 , 400 , 2015/3/31 , 495 , 0.2375
1381 , 2014/3/31 , 792 , 2015/3/31 , 1471 , 0.857323232323
1383 , 2014/3/31 , 1489 , 2015/3/31 , 1462 , -0.0181329751511
1400 , 2014/3/31 , 180 , 2015/3/31 , 302 , 0.677777777778
1405 , 2014/3/31 , 847 , 2015/3/31 , 860 , 0.0153482880756
1407 , 2014/3/31 , 1244 , 2015/3/31 , 1060 , -0.147909967846
1408 , 2014/3/31 , 666 , 2015/3/31 , 575 , -0.136636636637
1414 , 2014/3/31 , 4560 , 2015/3/31 , 5280 , 0.157894736842
1417 , 2014/3/31 , 904 , 2015/3/31 , 1344 , 0.486725663717
1418 , 2014/3/31 , 176 , 2015/3/31 , 253 , 0.4375
1419 , 2014/3/31 , 852 , 2015/3/31 , 582 , -0.316901408451
1420 , 2014/3/31 , 627 , 2015/3/31 , 649 , 0.0350877192982
1429 , 2014/3/31 , 524 , 2015/3/31 , 696 , 0.328244274809
1491 , 2014/3/31 , 37 , 2015/3/31 , 28 , -0.243243243243
1514 , 2014/3/31 , 116 , 2015/3/31 , 121 , 0.0431034482759
1515 , 2014/3/31 , 404 , 2015/3/31 , 445 , 0.101485148515
1518 , 2014/3/31 , 159 , 2015/3/31 , 130 , -0.182389937107
1605 , 2014/3/31 , 1339 , 2015/3/31 , 1325.5 , -0.0100821508588
1606 , 2014/3/31 , 4415 , 2015/3/31 , 3955 , -0.104190260476
1662 , 2014/3/31 , 3435 , 2015/3/31 , 4075 , 0.186317321689
1663 , 2014/3/31 , 1419 , 2015/3/31 , 1501 , 0.0577871740662
1711 , 2014/3/31 , 1732.21 , 2015/3/31 , 959 , -0.446371975684
1712 , 2014/3/31 , 793 , 2015/3/31 , 917.5 , 0.156998738966
1716 , 2014/3/31 , 704 , 2015/3/31 , 1085 , 0.541193181818
1717 , 2014/3/31 , 247 , 2015/3/31 , 304 , 0.230769230769
1718 , 2014/3/31 , 294 , 2015/3/31 , 329 , 0.119047619048
1719 , 2014/3/31 , 387 , 2015/3/31 , 687 , 0.77519379845
1720 , 2014/3/31 , 437 , 2015/3/31 , 680 , 0.556064073227
1721 , 2014/3/31 , 1618 , 2015/3/31 , 1485 , -0.0822002472188
1722 , 2014/3/31 , 1327 , 2015/3/31 , 1047 , -0.211002260739
1723 , 2014/3/31 , 992 , 2015/3/31 , 1140 , 0.149193548387
1724 , 2014/3/31 , 326 , 2015/3/31 , 390 , 0.196319018405
1726 , 2014/3/31 , 135 , 2015/3/31 , 361 , 1.67407407407
1736 , 2014/3/31 , 715 , 2015/3/31 , 889 , 0.243356643357
1737 , 2014/3/31 , 707 , 2015/3/31 , 848 , 0.199434229137
1743 , 2014/3/31 , 201 , 2015/3/31 , 264 , 0.313432835821
1757 , 2014/3/31 , 74 , 2015/3/31 , 42 , -0.432432432432
1758 , 2014/3/31 , 1190 , 2015/3/31 , 767 , -0.355462184874
1762 , 2014/3/31 , 1835 , 2015/3/31 , 2566 , 0.398365122616
1764 , 2014/3/31 , 164 , 2015/3/31 , 230 , 0.40243902439
1766 , 2014/3/31 , 4690 , 2015/3/31 , 6040 , 0.287846481876
1768 , 2014/3/31 , 294 , 2015/3/31 , 519 , 0.765306122449
1775 , 2014/3/31 , 255 , 2015/3/31 , 318 , 0.247058823529
1776 , 2014/3/31 , 215 , 2015/3/31 , 255 , 0.186046511628
1780 , 2014/3/31 , 293 , 2015/3/31 , 415 , 0.41638225256
1782 , 2014/3/31 , 307 , 2015/3/31 , 454 , 0.478827361564
1783 , 2014/3/31 , 70 , 2015/3/31 , 92 , 0.314285714286
1787 , 2014/3/31 , 1100 , 2015/3/31 , 935 , -0.15
1788 , 2014/3/31 , 165 , 2015/3/31 , 183 , 0.109090909091
1789 , 2014/3/31 , 258 , 2015/3/31 , 385 , 0.492248062016
1799 , 2014/3/31 , 1343 , 2015/3/31 , 1364 , 0.0156366344006
1801 , 2014/3/31 , 461 , 2015/3/31 , 679 , 0.472885032538
1802 , 2014/3/31 , 582 , 2015/3/31 , 780 , 0.340206185567
1803 , 2014/3/31 , 535 , 2015/3/31 , 813 , 0.519626168224
1805 , 2014/3/31 , 153 , 2015/3/31 , 242 , 0.581699346405
1807 , 2014/3/31 , 313 , 2015/3/31 , 298 , -0.0479233226837
1808 , 2014/3/31 , 646 , 2015/3/31 , 1172 , 0.814241486068
1810 , 2014/3/31 , 441 , 2015/3/31 , 705 , 0.598639455782
1811 , 2014/3/31 , 288 , 2015/3/31 , 384 , 0.333333333333
1812 , 2014/3/31 , 362 , 2015/3/31 , 558 , 0.541436464088
1813 , 2014/3/31 , 189 , 2015/3/31 , 238 , 0.259259259259
1814 , 2014/3/31 , 1160 , 2015/3/31 , 820 , -0.293103448276
1815 , 2014/3/31 , 279 , 2015/3/31 , 414 , 0.483870967742
1820 , 2014/3/31 , 334 , 2015/3/31 , 426 , 0.275449101796
1821 , 2014/3/31 , 108 , 2015/3/31 , 166 , 0.537037037037
1822 , 2014/3/31 , 377 , 2015/3/31 , 618 , 0.63925729443
1824 , 2014/3/31 , 650 , 2015/3/31 , 872 , 0.341538461538
1826 , 2014/3/31 , 610 , 2015/3/31 , 685 , 0.122950819672
1827 , 2014/3/31 , 241 , 2015/3/31 , 405 , 0.680497925311
1828 , 2014/3/31 , 670 , 2015/3/31 , 989 , 0.476119402985
1833 , 2014/3/31 , 460 , 2015/3/31 , 562 , 0.221739130435
1835 , 2014/3/31 , 1913 , 2015/3/31 , 2683 , 0.402509147935
1840 , 2014/3/31 , 306 , 2015/3/31 , 225 , -0.264705882353
1841 , 2014/3/31 , 730 , 2015/3/31 , 815 , 0.116438356164
1844 , 2014/3/31 , 34 , 2015/3/31 , 35 , 0.0294117647059
1846 , 2014/3/31 , 164 , 2015/3/31 , 206 , 0.256097560976
1847 , 2014/3/31 , 170 , 2015/3/31 , 314 , 0.847058823529
1850 , 2014/3/31 , 52 , 2015/3/31 , 78 , 0.5
1852 , 2014/3/31 , 143 , 2015/3/31 , 149 , 0.041958041958
1853 , 2014/3/31 , 104 , 2015/3/31 , 201 , 0.932692307692
1860 , 2014/3/31 , 339 , 2015/3/31 , 507 , 0.495575221239
1861 , 2014/3/31 , 255 , 2015/3/31 , 375 , 0.470588235294
1865 , 2014/3/31 , 588 , 2015/3/31 , 853 , 0.450680272109
1866 , 2014/3/31 , 258 , 2015/3/31 , 339 , 0.313953488372
1867 , 2014/3/31 , 209 , 2015/3/31 , 260 , 0.244019138756
1868 , 2014/3/31 , 483 , 2015/3/31 , 516 , 0.0683229813665
1870 , 2014/3/31 , 1013 , 2015/3/31 , 793 , -0.217176702863
1871 , 2014/3/31 , 462 , 2015/3/31 , 415 , -0.101731601732
1873 , 2014/3/31 , 464 , 2015/3/31 , 546 , 0.176724137931
1878 , 2014/3/31 , 9551 , 2015/3/31 , 13425 , 0.405611977803
1879 , 2014/3/31 , 313 , 2015/3/31 , 468 , 0.495207667732
1881 , 2014/3/31 , 1425 , 2015/3/31 , 1986 , 0.393684210526
1882 , 2014/3/31 , 409 , 2015/3/31 , 404 , -0.0122249388753
1883 , 2014/3/31 , 1439 , 2015/3/31 , 1949 , 0.354412786657
1884 , 2014/3/31 , 471 , 2015/3/31 , 603 , 0.28025477707
